LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
70,03/22,08:51:11,INFO   ,..mailbox_register: mailbox allocated for dump,cbadcc66,..mailbox_register: mailbox allocated for <*>,['dump']
71,03/22,08:51:11,INFO   ,...mailslot_create: creating mailslot for (broken) pipe,1133247d,...mailslot_create: creating mailslot for (broken) pipe,[]
72,03/22,08:51:11,INFO   ,..mailbox_register: mailbox allocated for pipe,cbadcc66,..mailbox_register: mailbox allocated for <*>,['pipe']
73,03/22,08:51:11,INFO   ,.main: rsvpd initialization complete,8f9b300a,.main: rsvpd initialization complete,[]
74,03/22,08:52:50,INFO   ,......rsvp_api_open: accepted a new connection for rapi,fba40dc5,......rsvp_api_open: accepted a new connection for rapi,[]
75,03/22,08:52:50,INFO   ,.......mailbox_register: mailbox allocated for mailbox,b5665581,.......mailbox_register: mailbox allocated for mailbox,[]
76,03/22,08:52:50,TRACE  ,......rsvp_event_mapSession: Session=9.67.116.99:1047:6 does not exist,ca1ef60e,......rsvp_event_mapSession: Session=<*>6 does not exist,['9.67.116.99:1047:']
77,03/22,08:52:50,EVENT  ,.....api_reader: api request SESSION,a281427c,.....api_reader: api request <*>,['SESSION']
78,03/22,08:52:50,TRACE  ,......rsvp_event_establishSession: local node will send,256e39a5,......rsvp_event_establishSession: local node will send,[]
79,03/22,08:52:50,INFO   ,........router_forward_getOI: Ioctl to get route entry successful,bb038ccb,........router_forward_getOI: Ioctl to get route entry successful,[]
80,03/22,08:52:50,TRACE  ,........router_forward_getOI:         source address:   9.67.116.98,cc0d576d,........router_forward_getOI: source address: <*>,['9.67.116.98']
81,03/22,08:52:50,TRACE  ,........router_forward_getOI:         out inf:   9.67.116.98,8cd6485f,........router_forward_getOI: out inf: <*>,['9.67.116.98']
82,03/22,08:52:50,TRACE  ,........router_forward_getOI:         gateway:   0.0.0.0,e64163dd,........router_forward_getOI: gateway: <*>,['0.0.0.0']
83,03/22,08:52:50,TRACE  ,........router_forward_getOI:         route handle:   7f5251c8,4dd0088c,........router_forward_getOI: route handle: 7f5251c8,[]
84,03/22,08:52:50,TRACE  ,.......event_establishSessionSend: found outgoing if=9.67.116.98 through forward engine,b24d3c8a,.......event_establishSessionSend: found outgoing if=<*> through forward engine,['9.67.116.98']
85,03/22,08:52:50,TRACE  ,......rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists,66e774aa,......rsvp_event_mapSession: Session=<*>6 exists,['9.67.116.99:1047:']
86,03/22,08:52:50,EVENT  ,.....api_reader: api request SENDER,a281427c,.....api_reader: api request <*>,['SENDER']
87,03/22,08:52:50,INFO   ,.......init_policyAPI: papi_debug:  Entering,3c905a62,.......init_policyAPI: papi_debug: <*>,['Entering']
88,03/22,08:52:50,INFO   ,.......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0,76e47022,.......init_policyAPI: papi_debug: papiLogFunc = 98681F0 papiUserValue = 0,[]
89,03/22,08:52:50,INFO   ,.......init_policyAPI: papi_debug:  Exiting,3c905a62,.......init_policyAPI: papi_debug: <*>,['Exiting']
90,03/22,08:52:50,INFO   ,.......init_policyAPI: APIInitialize:  Entering,9b8a94d1,.......init_policyAPI: <*> Entering,['APIInitialize:']
